cx-n3  318.7    1.472     
cx-oh  387.4    1.361     
cx-os  320.1    1.420     
cx-p3  227.6    1.867     
cx-s4  225.3    1.822     
cx-s6  283.7    1.731     
cx-ss  229.2    1.815     
cy-cy  286.8    1.554     
cy-h1  330.4    1.097     
cy-hc  334.5    1.094     
cy-n3  307.2    1.484     
cy-oh  325.2    1.415     
cy-os  280.7    1.462     
f -n   391.7    1.397     
f -n1  375.7    1.410     
f -n2  337.5    1.444     
f -n3  380.6    1.406     
f -n4  526.8    1.308     
f -na  374.5    1.411     
f -nh  357.1    1.426     
f -no  314.4    1.467     
f -o   442.2    1.330     
f -oh  305.4    1.444     
f -os  326.2    1.423     
f -p2  287.3    1.536     
f -p3  254.5    1.578     
f -p4  246.0    1.590     
f -p5  253.8    1.579     
f -s   233.3    1.660     
f -s2  244.4    1.643     
f -s4  282.4    1.591     
f -s6  312.1    1.556     
f -sh  240.4    1.649     
f -ss  250.5    1.634     
hn-n   410.2    1.009     
hn-n1  455.1    0.986     
hn-n2  375.5    1.029     
hn-n3  394.1    1.018     
hn-n4  369.0    1.033     
hn-na  406.6    1.011     
hn-nh  401.2    1.014     
hn-no  385.6    1.023     
ho-o   357.9    0.981     
ho-oh  369.6    0.974     
hp-p2  385.1    1.336     
hp-p3  303.1    1.409     
hp-p4  368.7    1.349     
hp-p5  305.0    1.407     
hs-s   286.4    1.353     
hs-s4  266.4    1.375     
hs-s6  280.8    1.359     
hs-sh  302.2    1.337     
i -i   109.2    2.917     
i -n   278.3    2.098     
i -n1  302.1    2.060     
i -n2  182.6    2.304     
i -n3  231.8    2.185     
i -n4  246.6    2.155     
i -na  260.5    2.129     
i -nh  249.2    2.150     
i -no  211.0    2.231     
i -o   323.8    1.980     
i -oh  247.9    2.101     
i -os  233.6    2.129     
i -p2  108.2    2.643     
i -p3  123.6    2.566     
i -p4  183.0    2.352     
i -p5  117.3    2.596     
i -s   175.1    2.430     
i -s4   82.8    2.870     
i -s6   82.8    2.870     
i -sh  138.5    2.560     
i -ss  135.9    2.571     
n -n   469.7    1.390     
n -n1  553.9    1.340     
n -n2  499.7    1.371     
n -n3  443.3    1.408     
n -n4  410.8    1.432     
n -na  486.8    1.379     
n -nc  532.1    1.352     
n -nd  532.1    1.352     
n -nh  437.7    1.412     
n -no  381.2    1.456     
n -o   646.6    1.264     
n -oh  395.4    1.410     
n -os  372.3    1.429     
n -p2  310.3    1.733     
n -p3  282.2    1.770     
n -p4  309.5    1.734     
n -p5  327.0    1.713     
n -pc  304.8    1.740     
n -pd  304.8    1.740     
n -s   247.5    1.767     
n -s4  238.2    1.782     
n -s6  270.8    1.732     
n -sh  273.6    1.728     
n -ss  281.6    1.717     
n1-n1 1221.7    1.124     
n1-n1 1365.7    1.100     
n1-n2  857.4    1.216     
n1-n3  535.7    1.350     
n1-n4  518.2    1.360     
n1-na  535.7    1.350     
n1-nc  857.4    1.216     
n1-nd  857.4    1.216     
n1-ne  751.9    1.252     
n1-nf  751.9    1.252     
n1-nh  553.9    1.340     
n1-no  454.8    1.400     
n1-o   617.5    1.277     
n1-oh  569.8    1.300     
n1-os  550.5    1.310     
n1-p2  358.8    1.678     
n1-p3  376.7    1.660     
n1-p4  353.0    1.680     
n1-p5  482.7    1.571     
n1-s   328.7    1.659     
n1-s2  604.3    1.449     
n1-s4  336.8    1.650     
n1-s6  670.3    1.416     
n1-sh  376.1    1.610     
n1-ss  376.1    1.610     
n2-n2  702.7    1.271     
n2-n3  574.8    1.329     
n2-n4  200.8    1.679     
n2-na  450.4    1.403     
n2-nc  743.9    1.255     
n2-nd  743.9    1.255     
n2-ne  685.5    1.278     
n2-nf  685.5    1.278     
n2-nh  525.1    1.356     
n2-no  231.9    1.626     
n2-o   789.9    1.209     
n2-oh  416.2    1.394     
n2-os  400.5    1.406     
n2-p2  438.3    1.605     
n2-p3  286.5    1.764     
n2-p4  317.7    1.724     
n2-p5  445.8    1.599     
n2-pe  527.9    1.540     
n2-pf  527.9    1.540     
n2-s   458.1    1.541     
n2-s2  499.0    1.512     
n2-s4  376.1    1.610     
n2-s6  468.9    1.533     
n2-sh  266.6    1.738     
n2-ss  331.4    1.656     
n3-n3  383.6    1.454     
n3-n4  434.9    1.414     
n3-na  426.7    1.420     
n3-nh  426.7    1.420     
n3-no  394.5    1.445     
n3-o   564.0    1.303     
n3-oh  413.5    1.396     
n3-os  359.6    1.440     
n3-p2  366.6    1.670     
n3-p3  312.8    1.730     
n3-p4  341.1    1.697     
n3-p5  373.6    1.663     
n3-s   232.3    1.792     
n3-s4  251.3    1.761     
n3-s6  353.8    1.632     
n3-sh  265.9    1.739     
n3-ss  277.9    1.722     
n4-n4  349.9    1.484     
n4-na  407.0    1.435     
n4-nh  369.7    1.466     
n4-no  354.2    1.480     
n4-o   463.6    1.361     
n4-oh  408.2    1.400     
n4-os  381.8    1.421     
n4-p2  185.9    1.942     
n4-p3  215.1    1.880     
n4-p4  187.6    1.938     
n4-p5  242.9    1.830     
n4-py  204.2    1.902     
n4-s   210.3    1.832     
n4-s4  151.0    1.972     
n4-s6  172.7    1.914     
n4-sh  221.5    1.811     
n4-ss  221.0    1.812     
na-na  453.3    1.401     
na-nc  535.7    1.350     
na-nd  535.7    1.350     
na-nh  453.3    1.401     
na-no  401.9    1.439     
na-o   644.3    1.265     
na-oh  412.2    1.397     
na-os  355.2    1.444     
na-p2  297.8    1.749     
na-p3  288.0    1.762     
na-p4  492.4    1.564     
na-p5  325.3    1.715     
na-pc  311.1    1.732     
na-pd  311.1    1.732     
na-py  327.8    1.712     
na-s   248.7    1.765     
na-s4  231.7    1.793     
na-s6  274.3    1.727     
na-sh  278.6    1.721     
na-ss  270.1    1.733     
na-sy  274.3    1.727     
nb-nb  550.2    1.342     
nb-pb  461.1    1.587     
nc-nc  486.8    1.379     
nc-nd  602.9    1.315     
nc-os  414.9    1.395     
nc-ss  433.5    1.560     
nc-sy  439.8    1.555     
nd-nd  486.8    1.379     
nd-nd  602.9    1.315     
nd-os  414.9    1.395     
nd-ss  433.5    1.560     
nd-sy  439.8    1.555     
ne-ne  355.3    1.479     
ne-nf  738.6    1.257     
ne-o   736.4    1.228     
ne-p2  493.9    1.563     
ne-pe  327.8    1.712     
ne-px  336.6    1.702     
ne-py  320.2    1.721     
ne-s   463.5    1.537     
ne-sx  207.3    1.838     
ne-sy  257.1    1.752     
nf-nf  355.3    1.479     
nf-nf  738.6    1.257     
nf-o   736.4    1.228     
nf-p2  493.9    1.563     
nf-pf  327.8    1.712     
nf-px  336.6    1.702     
nf-py  320.2    1.721     
nf-s   463.5    1.537     
nf-sx  207.3    1.838     
nf-sy  257.1    1.752     
nh-nh  453.3    1.401     
nh-no  381.2    1.456     
nh-o   596.2    1.287     
nh-oh  359.6    1.440     
nh-os  358.5    1.441     
nh-p2  357.8    1.679     
nh-p3  312.8    1.730     
